Gen	The Book of Genesis is the most ancient record in the world; including the History of two grand and stupendous subjects, Creation and Providence; of each of which it presents a summary, but astonishingly minute and detailed accounts. From this Book, almost all the ancient philosophers, astronomers, chronologists, and historians have taken their respective data; and all the modern improvements and accurate discoveries in different arts and sciences, have only served to confirm the facts detailed by Moses, and to shew, that all the ancient writers on these subjects have approached, or receded from, truth and the phenomena of Nature, in exactly the same proportion as they have followed or receded from, the Mosaic history. The great fact of the deluge is fully confirmed by the fossilised remains in every quarter of the globe. Add to this, that general traditions of the deluge have been traced among the Egyptians, Chinese, Japanese, Hindoos, Burmans, ancient Goths and Druids, Mexicans, Peruvians, Brazilians, North American Indians, Greenlanders, Otaheiteans, Sandwich Islanders, and almost every nation under heaven; while the allegorical turgidity of these distorted traditions sufficiently distinguishes them from the unadorned simplicity of the Mosaic narrative. In fine, without this history the world would be in comparative darkness, not knowing whence it came, nor whither it goeth. In the first page, a child may learn more in an hour, than all the philosophers in the world learned without it in a thousand years. (The original publisher remembers these words addressed to him and other boys in the year 1780, by his excellent tutor, the later Rev. John Ryland, of Northampton.)
Exo	The title of this Book is derived from the Septuagint; in which it is called <gu>ΕΞΟΔΟΣ</gu>, "Exodus;" or, as it is in the Codex Alexandrinus, <gu>ΕΞΟΔΟΣ Αιγυπτου</gu>, "the Exodus or departure from Egypt;" but it is called in Hebrew Bibles <hu>שׁמות ואלה</hu>, <i>Weelleh Shemoth</i>, "these are the names," or merely, <hu>שׁמות</hu>, <i>Shemoth</i>, "names," from the words with which it commences.<br><br>Moses was undoubtedly the author of this Book, which forms a continuation of the preceding, and was evidently written after the promulgation of the law. it embraces the history of about 145 years. Moses, having in the Book of Genesis described the creation of the world, the origin of nations, and the peopling of the earth, details in the Book of Exodus the commencement and nature of the Jewish Church and Polity, which has very properly been termed a Theocracy (<gu>Θεοκρατια</gu>, from <gu>Θεος</gu> [G2316], God, and <gu>κρατεω</gu> [G2902], to rule), in which Jehovah appears not merely as their Creator and God, but as their King. Hence this and the following books of Moses are not purely historical; but contain not only laws for the regulation of their moral conduct and the rites and ceremonies of their religious worship, but judicial and political laws relating to government and civil life. The stupendous facts connected with these events, may be clearly perceived by consulting the marginal references; and many of the circumstances are confirmed by the testimony of heathen writers. Numenius, a Pythagorean philosopher, mentioned by Eusebius, speaks of the opposition of the magicians, whom he calls Jannes and Jambres, to the miracles of Moses. Though the names of these magicians are not preserved in the Sacred Text, yet tradition had preserved them in the Jewish records, from which St. Paul (<u>2Ti_3:8</u>) undoubtedly quotes. Add to this that many of the notions of the heathen respecting the appearance of the Deity, and their religious institutions and laws, were borrowed from this book; and many of their fables were nothing more than distorted traditions of those events which are here plainly related by Moses.
Lev	Leviticus is a most interesting and important book; a book containing a code of sacrificial, ceremonial, civil, and judicial laws, which, for the purity of their morality, the wisdom, justice, and beneficence of their enactments, and the simplicity, dignity, and impressive nature of their rites, are perfectly unrivalled, and altogether worthy of their Divine Author. All the rites and ceremonies of the Mosaic law are at once dignified and expressive. They point out the holiness of their Author, the sinfulness of man, the necessity of an atonement, and the state of moral excellence to which the grace and mercy of the Creator have destined to raise the human soul. They include, as well as point out, the gospel of the Son of God; from which they receive their consummation and perfection. The sacrifices and oblations were significant of the atonement of Christ; the requisite qualities of these sacrifices were emblematical of his immaculate character; and the prescribed mode in the form of these offerings, and the mystical rites ordained, were allusive institutions, calculated to enlighten the apprehensions of the Jews, and to prepare them for the reception of the Gospel. The institution of the high priesthood typified Jesus, the Great High Priest, called and prepared of God, who hath an unchangeable priesthood, and is able to save to the uttermost all that come unto God by him.
Num	The book of Numbers is a book containing a series of the most astonishing providences and events. Every where and in every circumstance God appears; and yet there is no circumstance or occasion which does not justify those signal displays of his grace and mercy; and in every relation we perceive the consistency of the divine intentions, and the propriety of those laws which he established.
Deu	The book of Deuteronomy marks the end of the Pentateuch, commonly called the Law of Moses; a work every way worthy of God its author, and only less than the New Testament, the Law and Gospel of our Lord and Saviour Jesus Christ. Its antiquity places it at the head of all the writings in the world; and the various subjects it embraces render it of the utmost importance to every part of the civilized world. Its philosophy, history, geography, and chronology entitle it to the respect of the whole human race; while its system of theology and religion demonstrably proves it to be a revelation from God. The Law of Moses is more properly the Law of Jehovah, <hu>יהוה</hu> [H3068] <hu>תורה</hu> [H8451], <i>torah</i> <i>yehowah</i>, the grand title of the Pentateuch. Could we conceive Moses to have been the author of this system, we must consider him more than mortal - no wisdom of man has ever yet invented such a Code of Laws. His merit, however, has been disputed, and his laws severely criticised, by persons whose interest it was to prove religion a cheat, because they had none themselves. To some, whose mental taste and feeling are strangely perverted, everything in heathenism wears not only the most fascinating aspect, but appears to lay claim to and possess every excellence; and hence they have called up Confucius, Menu, Zoraster, and Mohammed himself, to dispute the palm with Moses! On this subject in general, it may be just necessary to add, that the utmost that can be said of all laws, merely human, is, that they restrain vices, through the terror of punishment. God's law not only restrains vice, but it infuses virtue. It alone brings man to the footstool of his Maker; and keeps him dependent on the strong for strength, on the wise for wisdom, and on the merciful for grace. It abounds with promises of support, and salvation for the present life, which no false system dared ever to propose. every where, Moses, in the most confident manner, pledges his God for the fulfilment of all the exceeding great and precious promises, with which his laws are so plentifully interspersed; and while they were obedient they could say, "Not one word hath failed us, of all the good things which the Lord our God spake concerning us." Who that dispassionately reads the Pentateuch, that considers it in itself and in its reference to that glorious Gospel which it was intended to introduce, can for a moment deny it the palm of infinite superiority over all the systems ever framed or imagined by man? Well might the Israelitish people triumphantly exclaim, "There is none like the God of Jeshurun!" and with what striking propriety does the glorious legislator add, "Happy art thou, O Israel! who is like unto thee? O people, saved of the Lord!" Finally, the treasures of wisdom and knowledge, which are amassed in these five books, have enriched the whole civilized earth, and, indeed, greatly promoted that very civilization. They have been a kind of text-book to almost every writer on geology, geography, chronology, astronomy, natural history, ethics, jurisprudence, political economy, theology, poetry, and criticism, from the time of Moses to the present day - books to which the choicest writers and philosophers in Pagan antiquity, have been deeply indebted; and which were the text-books to all the prophets - books from which the flimsy writers against Divine Revelation have derived their natural religion, and all their moral excellence - books written in all the energy, and purity, of the incomparable language in which they are composed; and lastly, books, which for importance of matter, variety of information, dignity of sentiment, accuracy of facts, impartiality, simplicity, and sublimity of narration, tending to improve and ennoble the intellect and ameliorate the physical and moral condition of man, have never been equalled, and can only be paralleled by the Gospel of the Son of God! Fountain of endless mercy, justice, truth, and beneficence! How much are thy gifts and bounties neglected by those who do not read this law; and by those who having read it, are not morally improved by it, and made wise unto salvation!
Jos	The Book of Joshua is one of the most important documents in the Old Testament. The rapid conquest of the Promised Land, and the actual settlement of the Israelites in it, afford a striking accomplishment of the Divine predictions to Abraham and the succeeding patriarchs; and at the same time bear the most unequivocal and ample testimony to the authenticity of this sacred book. Several of the transactions related in it are confirmed in a very extraordinary manner, by the traditions current among heathen nations, and preserved by ancient profane historians of undoubted character. Thus there are monuments still in existence, which prove that the Carthaginians were a colony of Syrians who escaped from Joshua; as also that the inhabitants of Leptis, in Africa, came originally from the Sidonians, who abandoned their country on account of the calamities with which it was overwhelmed. Procopius relates that the Phoenicians fled before the Hebrews into Africa, and spread themselves abroad as far as the pillars of Hercules; and adds, "In Numidia, where now stands the city Tigisis (Tangiers), they have erected two columns, on which, in Phoenician characters, is the following inscription: "We are the Phoenicians who fled from the face of Jesus (Joshua) the son of Naue" (Nun).
Jdg	The book of Judges forms an important link in the history of the Israelites. It furnishes us with a lively description of a fluctuating and unsettled nation; a striking picture of the disorders and dangers which prevailed in a republic without magistracy; when "the high-ways were unoccupied, and the travellers walked through by-ways" (<u>Jdg_5:6</u>), when few prophets were appointed to control the people, and "every one did that which was right in his own eyes" (<u>Jdg_17:6</u>). It exhibits the contest of true religion with superstition; and displays the beneficial effects that flow from the former, and the miseries and evil consequences of impiety. It is a most remarkable history of the long-suffering of God towards the Israelites, in which we see the most signal instances of his justice and mercy alternately displayed. the people sinned, and were punished; they repented, and found mercy. These things are written for our warning. none should presume, for God is just; none need despair, for God is merciful. Independently of the internal evidence of the authenticity of this sacred book, the transactions it records are not only cited or alluded to by other inspired writers, but are further confirmed by the traditions current among heathen nations.
Rth	This book is evidently a supplement to the book of Judges, and an introduction to that of Samuel, between which it is placed with great propriety. In the ancient Jewish canon, it formed a part of the book of Judges; but the modern Jews make it one of the five Megilloth, which they place towards the end of the Old Testament. This book has been attributed to various authors; but the best founded and generally received opinion, and in which the Jews coincide, is that which ascribes it to the prophet Samuel; before whose time it could not have been written, as is evident from the genealogy recorded in <u>Jdg_4:17-22</u>. The time in which the events detailed in this book happened is involved in much obscurity and uncertainty. Augustine refers it to the time of the regal government of the Hebrews; Josephus to the administration of Eli; Moldenhawer, after some Jewish writers, to the time of Ehud; Rabbi Kimichi, and other Jewish authors, to the time of Ibzan; Bps. Patrick and Horne to the judicature of Gideon; Lightfoot to the period between Ehud and Deborah; and Usher, who is followed by most chronologers, to the time of Shamgar. The authenticity and canonical authority of this sacred book cannot be questioned; and the Evangelists, in describing our Saviour's descent, have followed its genealogical accounts. To delineate part of this genealogy appears to be the principal design of the book; it had been foretold that the Messiah should be of the tribe of Judah, and it was afterwards revealed that he should be of the family of David; and therefore it was necessary, to prevent the least suspicion of fraud or design, that the history of that family should be written before these prophecies were revealed. And thus this book, these prophecies, and their accomplishment, serve mutually to illustrate each other. The whole narrative is extremely interesting and instructive, and is written with the most beautiful simplicity. The distress of Naomi; her affectionate concern for her daughter-in-law; the reluctant departure of Orpah; the dutiful attachment of Ruth; and the sorrowful return to Bethlehem, are very beautifully told. The simplicity of manners, likewise, which is shown in the account of Ruth's industry and attention to Naomi; of the elegant charity of Boaz; and of his acknowledgment of his kindred with Ruth, afford a very pleasing contrast to the turbulent scenes described in the preceding book. And while it exhibits, in a striking and affecting manner, the care of Divine Providence over those who sincerely fear God, and honestly aim at fulfilling his will, the circumstance of a Moabitess becoming an ancestor of the Messiah seems to have been a pre-intimation of the admission of the Gentiles into his church It must be remarked, that in the estimation of the Jews, it was disgraceful to David to have derived his birth from a Moabitess; and Shimei, in his revilings against him, is supposed by them to have tauntingly reflected on his descent from Ruth. This book, therefore, contains an intrinsic proof of its own verity, as it reveals a circumstance so little flattering to the sovereign of Israel; and it is scarcely necessary to appeal to its admission into the canon of Scripture, for a testimony of its authentic character. Add to which, that the native, the amiable simplicity in which the story is told, is sufficient proof of its genuineness. There are several sympathetic circumstances recorded which no forger could have invented. there is too much of nature to admit anything of art.
1Sa	The First Book of SAMUEL, otherwise called "The First Book of the KINGS."
2Ki	The events detailed in these books (Kings) are highly interesting and important. The account of the wisdom, magnificence, and extended commerce of Solomon; the rash and impolitic conduct of Rehoboam; the disobedient prophet; the widow of Zarephath; Elijah and the prophets of Baal; Ben-hadad's pride and defeat; Elijah's assumption into heaven; Elisha's succession to his ministry, and the series of illustrious miracles he performed; the panic flight of the Syrians; the history of Ben-hadad and Hazael; and the predicted death of Ahab and Jezebel, and their children, are all pregnant with instruction, and have furnished themes for frequent dissertation. We perceive in these impressive histories the characters and qualities of men painted with the utmost fidelity, and the attributes of God displayed with great effect. we contemplate the exact accomplishment of God's promises and threatenings, the wisdom of his dispensations, and the mingled justice and mercy of his government. The particulars and circumstances are sketched out with a brief and lively description, and the imagination lingers with pleasure in filling up the striking outlines presented to our view. The authenticity of these books is attested by the prophecies they contain, which were subsequently fulfilled; by the citation of our Saviour and his Apostles; by their universal reception by the Jewish and Christian churches; and by the corresponding testimonies of profane authors and ancient sculptures.
